iter	Logloss
0	0.6895264951
1	0.6833839645
2	0.6768384008
3	0.6712704047
4	0.6661527714
5	0.6610607216
6	0.6557717238
7	0.6506154409
8	0.6452277178
9	0.6407023904
10	0.6377918906
11	0.6326096586
12	0.6273595387
13	0.6246314134
14	0.6198021438
15	0.6156783418
16	0.6112837649
17	0.6072419675
18	0.6032711189
19	0.599404295
20	0.5958333272
21	0.5914647451
22	0.5880761975
23	0.585095023
24	0.5816545315
25	0.5787292755
26	0.574866746
27	0.5728533168
28	0.569061462
29	0.5656450009
30	0.5620699214
31	0.5587218964
32	0.5546843934
33	0.551023015
34	0.5484988732
35	0.5456447944
36	0.5434163716
37	0.5412482073
38	0.5385389499
39	0.5360519044
40	0.5327483765
41	0.5302699654
42	0.5274720335
43	0.5250245054
44	0.5230208528
45	0.5201804338
46	0.5173847861
47	0.514442855
48	0.5119017641
49	0.5093750183
50	0.5080477777
51	0.5059628972
52	0.5035033997
53	0.5022343618
54	0.5000279592
55	0.4981641941
56	0.4961711404
57	0.4950291068
58	0.4939525399
59	0.491716442
60	0.4896529877
61	0.4874432044
62	0.4852574514
63	0.4833226004
64	0.4824163928
65	0.4800744428
66	0.4790107133
67	0.4767083265
68	0.4748221757
69	0.4730172985
70	0.4711896245
71	0.4697220854
72	0.4677889704
73	0.4659576416
74	0.4644286104
75	0.4626566721
76	0.4609444441
77	0.4593146775
78	0.4581379234
79	0.456654029
80	0.454704376
81	0.4532086949
82	0.4518479216
83	0.4504043214
84	0.4487408849
85	0.4477628605
86	0.4460927998
87	0.4443872874
88	0.4438520877
89	0.4422216815
90	0.4414257118
91	0.439991477
92	0.4389848538
93	0.4379120787
94	0.4365671124
95	0.4356143974
96	0.4347112964
97	0.4338807888
98	0.4323702144
99	0.4309344263
100	0.4300675992
101	0.4286862676
102	0.4276141321
103	0.4268168375
104	0.4253476994
105	0.4240654129
106	0.4233034328
107	0.4229182626
108	0.4221161254
109	0.4217718433
110	0.420793362
111	0.4200182703
112	0.418880988
113	0.4185113964
114	0.4174006571
115	0.4164330945
116	0.4153486697
117	0.4144066908
118	0.413923709
119	0.4129431262
120	0.4123136326
121	0.4120434059
122	0.4112600909
123	0.4104269793
124	0.4089999627
125	0.408153374
126	0.4077199605
127	0.4066874795
128	0.4064261613
129	0.4057551401
130	0.4049814647
131	0.4042783269
132	0.4040634247
133	0.4034224642
134	0.4026312914
135	0.4019345952
136	0.4012383558
137	0.4005947456
138	0.4001701492
139	0.3996007314
140	0.3987890917
141	0.3983888912
142	0.3973963389
143	0.397002717
144	0.396366325
145	0.395496711
146	0.3947839794
147	0.3939318628
148	0.3931775578
149	0.392726921
150	0.392087194
151	0.3915090047
152	0.3909545716
153	0.3902683829
154	0.3894327129
155	0.3889175689
156	0.3881501523
157	0.3874829229
158	0.3867156434
159	0.3860513836
160	0.3855459248
161	0.3848561727
162	0.3847386709
163	0.3842486536
164	0.3836579009
165	0.382904738
166	0.3827964646
167	0.3824038249
168	0.3816961414
169	0.3810010442
170	0.3806619244
171	0.3802456656
172	0.3797955085
173	0.3792017406
174	0.3786142772
175	0.3782706803
176	0.3779398067
177	0.3774590178
178	0.3773104959
179	0.3769057497
180	0.3764004736
181	0.37586452
182	0.3754355608
183	0.3750652382
184	0.3748327472
185	0.3743996078
186	0.3737525255
187	0.3732906045
188	0.3732186506
189	0.3728689319
190	0.3723118491
191	0.3720173636
192	0.3716391375
193	0.3712612997
194	0.3708903147
195	0.3705151495
196	0.3699713838
197	0.3695554448
198	0.3691577797
199	0.3688779134
200	0.3684310456
201	0.3679789469
202	0.3676260303
203	0.3669953489
204	0.366371566
205	0.3660259133
206	0.3658145516
207	0.3655662765
208	0.3649996912
209	0.3647559617
210	0.3643456191
211	0.364081377
212	0.3635825882
213	0.3631097485
214	0.3629081406
215	0.3626433961
216	0.3623026317
217	0.3619843443
218	0.3614964057
219	0.3609678531
220	0.3607474687
221	0.3605422745
222	0.3598943699
223	0.3594787049
224	0.3590475756
225	0.3586637988
226	0.3583322171
227	0.3580013663
228	0.3575427347
229	0.3572742668
230	0.3569120533
231	0.3564562769
232	0.3561480859
233	0.3556239419
234	0.3550939274
235	0.3549595679
236	0.3548640862
237	0.3545024209
238	0.3541231898
239	0.353823382
240	0.3535328711
241	0.3532058122
242	0.3528703701
243	0.3525333062
244	0.3521944377
245	0.3520114236
246	0.3517416766
247	0.351502607
248	0.3511792942
249	0.3509979248
250	0.3509737574
251	0.350829804
252	0.3505608108
253	0.3502589928
254	0.3498592034
255	0.349597771
256	0.3493558004
257	0.3493347625
258	0.3489992519
259	0.3487430047
260	0.3484276412
261	0.3481542622
262	0.347717011
263	0.347383739
264	0.3469307037
265	0.3467837579
266	0.3464782852
267	0.3459986384
268	0.345703856
269	0.3454965374
270	0.3453083153
271	0.3448685058
272	0.3444096457
273	0.3441414291
274	0.3438804307
275	0.3436459981
276	0.3433924235
277	0.3430594484
278	0.3427324809
279	0.3423869424
280	0.3421602078
281	0.3419276483
282	0.341645612
283	0.3412663808
284	0.3410034637
285	0.3406888311
286	0.34045883
287	0.3402419176
288	0.3400730202
289	0.3397178878
290	0.3394453311
291	0.3393126848
292	0.339300898
293	0.3388881112
294	0.3388675758
295	0.3385906105
296	0.3383592845
297	0.338131956
298	0.337806222
299	0.3375881675
300	0.3375283887
301	0.3373084611
302	0.3371337845
303	0.3368511086
304	0.3367535254
305	0.3365764504
306	0.3364427304
307	0.3361722295
308	0.3358946246
309	0.3354843962
310	0.3354297569
311	0.3352762554
312	0.3351965122
313	0.33478987
314	0.3345722495
315	0.3342026351
316	0.3340274103
317	0.3338061121
318	0.3334197541
319	0.3330220891
320	0.3328580571
321	0.3326230991
322	0.3323529181
323	0.3318718094
324	0.3314668575
325	0.3313687719
326	0.3313588125
327	0.3311128902
328	0.3308286838
329	0.3304520567
330	0.3302070937
331	0.3300898889
332	0.3298074871
333	0.3294224996
334	0.3292276531
335	0.3289414823
336	0.3287436662
337	0.3285166575
338	0.3283358591
339	0.3281523882
340	0.3278746462
341	0.3277035787
342	0.3272708276
343	0.3271338411
344	0.326864688
345	0.3266510193
346	0.3264406627
347	0.3261385706
348	0.325701548
349	0.325526483
